debug6c2Aq:debug8p5bl,initialized,0,,1472743943854
debug6c2Aq:debug8p5bl,window_resize,0,"[1024, 768]",1472743943854
debugkF7lP:debugnis0t,initialized,0,,1473277130184
debugkF7lP:debugnis0t,window_resize,0,"[1024, 768]",1473277130184
debugPbYnB:debugrydua,initialized,0,,1473303760995
debugPbYnB:debugrydua,window_resize,1,"[1024, 768]",1473303760996
debugkSKmd:debugHCqcB,initialized,0,,1473360120874
debugkSKmd:debugHCqcB,window_resize,0,"[1024, 768]",1473360120874
debugkSKmd:debugHCqcB,focus,110179,off,1473360231053
debugkSKmd:debugHCqcB,focus,23038,on,1473360254091
debugkSKmd:debugHCqcB,focus,2427,off,1473360256518
debugkSKmd:debugHCqcB,focus,141196,on,1473360397714
debugkSKmd:debugHCqcB,focus,344470,off,1473360742184
debugkSKmd:debugHCqcB,focus,754,on,1473360742938
debugwDSHL:debug4aMxL,initialized,0,,1473368144937
debugwDSHL:debug4aMxL,window_resize,0,"[1024, 768]",1473368144937
debugwDSHL:debug4aMxL,focus,166,on,1473368145103
debugwDSHL:debug4aMxL,focus,206936,on,1473368352039
